case:id,case:concept:name,concept:name,time:timestamp
0,0,A_SUBMITTED,1970-04-26 18:46:40
1,0,A_PARTLYSUBMITTED,1970-04-26 18:46:41
2,0,A_PREACCEPTED,1970-04-26 18:46:42
3,0,A_ACTIVATED,1970-04-26 18:46:43
4,0,A_REGISTERED,1970-04-26 18:46:44
5,0,A_APPROVED,1970-04-26 18:46:45
6,1,A_SUBMITTED,1970-04-26 18:46:46
7,1,A_PARTLYSUBMITTED,1970-04-26 18:46:47
8,1,A_DECLINED,1970-04-26 18:46:48
9,2,A_SUBMITTED,1970-04-26 18:46:49
10,2,A_PARTLYSUBMITTED,1970-04-26 18:46:50
11,2,A_PREACCEPTED,1970-04-26 18:46:51
12,2,A_DECLINED,1970-04-26 18:46:52
13,3,A_SUBMITTED,1970-04-26 18:46:53
14,3,A_PARTLYSUBMITTED,1970-04-26 18:46:54
15,3,A_DECLINED,1970-04-26 18:46:55
16,4,A_SUBMITTED,1970-04-26 18:46:56
17,4,A_PARTLYSUBMITTED,1970-04-26 18:46:57
18,4,A_CANCELLED,1970-04-26 18:46:58
19,5,A_SUBMITTED,1970-04-26 18:46:59
20,5,A_PARTLYSUBMITTED,1970-04-26 18:47:00
21,6,A_SUBMITTED,1970-04-26 18:47:01
22,6,A_PARTLYSUBMITTED,1970-04-26 18:47:02
23,6,A_DECLINED,1970-04-26 18:47:03
24,7,A_SUBMITTED,1970-04-26 18:47:04
25,7,A_PARTLYSUBMITTED,1970-04-26 18:47:05
26,7,A_ACCEPTED,1970-04-26 18:47:06
27,7,A_DECLINED,1970-04-26 18:47:07
28,8,A_SUBMITTED,1970-04-26 18:47:08
29,8,A_PARTLYSUBMITTED,1970-04-26 18:47:09
30,8,A_DECLINED,1970-04-26 18:47:10
31,9,A_SUBMITTED,1970-04-26 18:47:11
32,9,A_PARTLYSUBMITTED,1970-04-26 18:47:12
33,9,A_DECLINED,1970-04-26 18:47:13
34,10,A_SUBMITTED,1970-04-26 18:47:14
35,10,A_PARTLYSUBMITTED,1970-04-26 18:47:15
36,10,A_DECLINED,1970-04-26 18:47:16
37,11,A_SUBMITTED,1970-04-26 18:47:17
38,11,A_PARTLYSUBMITTED,1970-04-26 18:47:18
39,11,A_DECLINED,1970-04-26 18:47:19
40,12,A_SUBMITTED,1970-04-26 18:47:20
41,12,A_PARTLYSUBMITTED,1970-04-26 18:47:21
42,12,A_DECLINED,1970-04-26 18:47:22
43,13,A_SUBMITTED,1970-04-26 18:47:23
44,13,A_PARTLYSUBMITTED,1970-04-26 18:47:24
45,13,A_DECLINED,1970-04-26 18:47:25
46,14,A_SUBMITTED,1970-04-26 18:47:26
47,14,A_PARTLYSUBMITTED,1970-04-26 18:47:27
48,14,A_DECLINED,1970-04-26 18:47:28
49,15,A_SUBMITTED,1970-04-26 18:47:29
50,15,A_PARTLYSUBMITTED,1970-04-26 18:47:30
51,15,A_PREACCEPTED,1970-04-26 18:47:31
52,15,A_ACTIVATED,1970-04-26 18:47:32
53,15,A_REGISTERED,1970-04-26 18:47:33
54,15,A_APPROVED,1970-04-26 18:47:34
55,16,A_SUBMITTED,1970-04-26 18:47:35
56,16,A_PARTLYSUBMITTED,1970-04-26 18:47:36
57,16,A_FINALIZED,1970-04-26 18:47:37
58,16,A_DECLINED,1970-04-26 18:47:38
59,17,A_SUBMITTED,1970-04-26 18:47:39
60,17,A_PARTLYSUBMITTED,1970-04-26 18:47:40
61,17,A_CANCELLED,1970-04-26 18:47:41
